         102885391 function calls (102878028 primitive calls) in 35.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 19813874   10.307    0.000   12.638    0.000 environment.py:99(act)
 10110000   10.222    0.000   13.849    0.000 environment.py:172(infect)
      200    7.447    0.037   33.940    0.170 environment.py:254(step)
 19811144    2.736    0.000    3.627    0.000 environment.py:160(get_covid)
 42837651    1.915    0.000    1.915    0.000 {method 'random' of '_random.Random' objects}
  1870223    0.469    0.000    0.680    0.000 environment.py:189(add)
  1772953    0.440    0.000    0.668    0.000 environment.py:185(remove)
        1    0.427    0.427    0.974    0.974 environment.py:206(__init__)
  1772959    0.228    0.000    0.228    0.000 {method 'remove' of 'set' objects}
  1870773    0.211    0.000    0.211    0.000 {method 'add' of 'set' objects}
   400000    0.122    0.000    0.172    0.000 random.py:250(_randbelow_with_getrandbits)
   100000    0.094    0.000    0.135    0.000 environment.py:55(__init__)
   200000    0.079    0.000    0.167    0.000 random.py:200(randrange)
   200000    0.070    0.000    0.168    0.000 random.py:285(choice)
   200000    0.043    0.000    0.209    0.000 random.py:244(randint)
   486696    0.029    0.000    0.029    0.000 {method 'getrandbits' of '_random.Random' objects}
      266    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
372351/371378    0.023    0.000    0.024    0.000 {built-in method builtins.len}
   400010    0.021    0.000    0.021    0.000 {method 'bit_length' of 'int' objects}
     2741    0.019    0.000    0.031    0.000 inspect.py:625(cleandoc)
    50550    0.018    0.000    0.018    0.000 environment.py:166(__init__)
   240774    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
1128/1007    0.012    0.000    0.056    0.000 {built-in method builtins.__build_class__}
      317    0.010    0.000    0.010    0.000 {built-in method builtins.compile}
       29    0.009    0.000    0.011    0.000 {built-in method _imp.create_dynamic}
     2651    0.008    0.000    0.010    0.000 enum.py:283(__call__)
  454/181    0.006    0.000    0.015    0.000 sre_parse.py:493(_parse)
      695    0.005    0.000    0.018    0.000 inspect.py:2112(_signature_from_function)
    25049    0.004    0.000    0.004    0.000 {built-in method builtins.min}
     1277    0.003    0.000    0.003    0.000 {built-in method posix.stat}
    32729    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
  925/174    0.003    0.000    0.007    0.000 sre_compile.py:71(_compile)
    13955    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      521    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    33737    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
       28    0.002    0.000    0.017    0.001 __init__.py:707(_rc_params_in_file)
      266    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
     2267    0.002    0.000    0.011    0.000 inspect.py:2477(__init__)
    621/1    0.002    0.000   35.189   35.189 {built-in method builtins.exec}
        1    0.002    0.002   35.189   35.189 environment.py:1(<module>)
      266    0.002    0.000    0.002    0.000 {built-in method io.open_code}
     6503    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
  752/717    0.002    0.000    0.023    0.000 inspect.py:2206(_signature_from_callable)
    19101    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      812    0.002    0.000    0.003    0.000 inspect.py:2760(__init__)
    23/22    0.002    0.000    0.002    0.000 {built-in method _imp.create_builtin}
6966/6962    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      941    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     6192    0.002    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
      743    0.002    0.000    0.003    0.000 functools.py:34(update_wrapper)
     2062    0.002    0.000    0.029    0.000 re.py:289(_compile)
      201    0.002    0.000    0.002    0.000 environment.py:314(<listcomp>)
      266    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:849(get_code)
     2792    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
    10710    0.001    0.000    0.002    0.000 _mathtext.py:2507(<genexpr>)
 1102/353    0.001    0.000    0.002    0.000 sre_parse.py:174(getwidth)
     4962    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
       12    0.001    0.000    0.020    0.002 artist.py:1403(get_setters)
     2349    0.001    0.000    0.024    0.000 inspect.py:606(getdoc)
      329    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.001    0.001   34.915   34.915 environment.py:387(main)
      200    0.001    0.000    0.001    0.000 environment.py:279(<listcomp>)
      188    0.001    0.000    0.001    0.000 colors.py:989(<listcomp>)
     2753    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'str' objects}
    29/24    0.001    0.000    0.005    0.000 {built-in method _imp.exec_dynamic}
     1584    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x907780}
     2792    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      532    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      233    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
      687    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       34    0.001    0.000    0.003    0.000 __init__.py:313(namedtuple)
      266    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:969(get_data)
    338/2    0.001    0.000    0.272    0.136 <frozen importlib._bootstrap>:986(_find_and_load)
       25    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
      429    0.001    0.000    0.020    0.000 artist.py:1356(get_valid_values)
     1252    0.001    0.000    0.013    0.000 __init__.py:572(__setitem__)
     5205    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1755    0.001    0.000    0.019    0.000 artist.py:1422(is_alias)
     4069    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
       27    0.001    0.000    0.464    0.017 __init__.py:1(<module>)
    319/3    0.001    0.000    0.272    0.091 <frozen importlib._bootstrap>:650(_load_unlocked)
     1602    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      318    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  396/174    0.001    0.000    0.015    0.000 sre_parse.py:435(_parse_sub)
      410    0.001    0.000    0.002    0.000 copy.py:66(copy)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      172    0.001    0.000    0.003    0.000 deprecation.py:183(deprecate)
     1066    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      687    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      746    0.001    0.000    0.001    0.000 inspect.py:493(unwrap)
  307/306    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
       12    0.001    0.000    0.015    0.001 artist.py:1328(get_aliases)
    334/2    0.001    0.000    0.272    0.136 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      742    0.001    0.000    0.003    0.000 {built-in method builtins.any}
      687    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      286    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
       12    0.001    0.000    0.001    0.000 artist.py:1339(<listcomp>)
     2846    0.001    0.000    0.001    0.000 inspect.py:2809(<genexpr>)
       46    0.001    0.000    0.001    0.000 six.py:105(__init__)
     6236    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
  475/225    0.001    0.000    0.003    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     3007    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       31    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      174    0.001    0.000    0.027    0.000 sre_compile.py:759(compile)
     4271    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
   534/57    0.001    0.000    0.235    0.004 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      316    0.001    0.000    0.016    0.000 overrides.py:166(decorator)
     1396    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 {built-in method posix.read}
      174    0.001    0.000    0.003    0.000 sre_compile.py:536(_compile_info)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
      158    0.001    0.000    0.001    0.000 colors.py:214(_to_rgba_no_colorcycle)
     2109    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
    266/3    0.001    0.000    0.271    0.090 <frozen importlib._bootstrap_external>:777(exec_module)
      295    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     1624    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 _compat_pickle.py:9(<module>)
   260/11    0.000    0.000    0.002    0.000 pyparsing.py:1647(_parseNoCache)
