         73459485 function calls (73452122 primitive calls) in 27.958 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 19825155   11.859    0.000   12.864    0.000 environment.py:99(act)
      200    8.757    0.044   26.870    0.134 environment.py:239(step)
 20000000    4.914    0.000    5.244    0.000 environment.py:161(get_covid)
 30607681    1.335    0.000    1.335    0.000 {method 'random' of '_random.Random' objects}
        1    0.318    0.318    0.793    0.793 environment.py:191(__init__)
   400000    0.116    0.000    0.163    0.000 random.py:250(_randbelow_with_getrandbits)
   200000    0.084    0.000    0.166    0.000 random.py:200(randrange)
   100000    0.081    0.000    0.081    0.000 environment.py:55(__init__)
   200000    0.065    0.000    0.158    0.000 random.py:285(choice)
   200000    0.042    0.000    0.208    0.000 random.py:244(randint)
   486981    0.027    0.000    0.027    0.000 {method 'getrandbits' of '_random.Random' objects}
      266    0.025    0.000    0.025    0.000 {built-in method marshal.loads}
372351/371378    0.023    0.000    0.023    0.000 {built-in method builtins.len}
     2741    0.020    0.000    0.033    0.000 inspect.py:625(cleandoc)
   400010    0.019    0.000    0.019    0.000 {method 'bit_length' of 'int' objects}
        1    0.016    0.016   27.959   27.959 environment.py:1(<module>)
   240774    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
      317    0.012    0.000    0.012    0.000 {built-in method builtins.compile}
1128/1007    0.011    0.000    0.057    0.000 {built-in method builtins.__build_class__}
    50550    0.011    0.000    0.011    0.000 environment.py:172(__init__)
     2651    0.010    0.000    0.011    0.000 enum.py:283(__call__)
       29    0.009    0.000    0.010    0.000 {built-in method _imp.create_dynamic}
  454/181    0.006    0.000    0.015    0.000 sre_parse.py:493(_parse)
      695    0.004    0.000    0.019    0.000 inspect.py:2112(_signature_from_function)
     1277    0.003    0.000    0.003    0.000 {built-in method posix.stat}
    25049    0.003    0.000    0.003    0.000 {built-in method builtins.min}
    33737    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
    32729    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
      521    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
  925/174    0.003    0.000    0.007    0.000 sre_compile.py:71(_compile)
    13955    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      266    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
       28    0.002    0.000    0.017    0.001 __init__.py:707(_rc_params_in_file)
    621/1    0.002    0.000   27.959   27.959 {built-in method builtins.exec}
     6503    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
      266    0.002    0.000    0.002    0.000 {built-in method io.open_code}
  752/717    0.002    0.000    0.024    0.000 inspect.py:2206(_signature_from_callable)
     2267    0.002    0.000    0.013    0.000 inspect.py:2477(__init__)
      812    0.002    0.000    0.003    0.000 inspect.py:2760(__init__)
      941    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     6192    0.002    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
6966/6962    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
    19098    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      743    0.002    0.000    0.003    0.000 functools.py:34(update_wrapper)
     2062    0.002    0.000    0.030    0.000 re.py:289(_compile)
      266    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:849(get_code)
    10707    0.002    0.000    0.002    0.000 _mathtext.py:2507(<genexpr>)
 1102/353    0.002    0.000    0.002    0.000 sre_parse.py:174(getwidth)
      188    0.001    0.000    0.001    0.000 colors.py:989(<listcomp>)
     4962    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
    29/24    0.001    0.000    0.005    0.000 {built-in method _imp.exec_dynamic}
